,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
,,,,,Wayne Township
,,,,,East Orange
,,,,,Lakewood
,,,,,Lakewood
,,,,,Lakewood
,,,,,Egg Harbor Twp
,,,,,Jersey City
,,,,,Montclair
,,,,,Hainesport
,,,,,Jackson Township
,,,,,Willingboro
,,,,,Montvale
,,,,,Washington Borough
,,,,,Harrison
,,,,,Lakewood
,,,,,Franklin
,,,,,Lakewood
,,,,,Lakewood
,,,,,Edison
,,,,,Lakewood
,,,,,Union
,,,,,Berlin Township
,,,,,Elizabeth Public Schools
,,,,,Beverly
,,,,,Passaic
,,,,,Randolph
,,,,,Teaneck
,,,,,Trenton
,,,,,Edison
,,,,,Cherry Hill
,,,,,Jersey City
,,,,,Jersey City
,,,,,Pemberton
,,,,,Newark
,,,,,Westfield
,,,,,Lakewood
,,,,,Vineland Public School District
,,,,,College Achieve Central Charter School
,,,,,Trenton Public School District
,,,,,College Achieve Greater Asbury Park Charter School
,,,,,Ocean Academy Charter School
,,,,,Lakewood Twp
,,,,,Cliffside Park 
,,,,,Hillsborough Twp 
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Voorhees Township School District
,,,,,Linden
,,,,,Williamstown
,,,,,Orange
,,,,,Howell Twp
,,,,,Bergenfield Boro
,,,,,Bloomfield Township School District
,,,,,Manalapan-Englishtown Reg
,,,,,Lakewood Twp
,,,,,College Achieve Paterson Charter School
,,,,,Lakewood Twp
,,,,,Spring Lake Heights School District
,,,,,Hillsborough Twp
,,,,,Montgomery Township School District
,,,,,Jersey City
,,,,,Totowa Boro
,,,,,Totowa Boro
,,,,,Ridgewood Village
,,,,,Princeton Regional
,,,,,Newark City
,,,,,Franklin Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Bridgewater-Raritan 
,,,,,Pitman Boro 
,,,,,Lakewood Twp
,,,,,Teaneck Twp
,,,,,Fort Lee Boro
,,,,,Union City
,,,,,Springfield Twp
,,,,,Lakewood
,,,,,Lakewood Twp
,,,,,Rutherford Boro
,,,,,Somerset Hills Regional
,,,,,Paramus Boro
,,,,,Tenafly Boro
,,,,,Edison Twp
,,,,,Franklin Lakes Boro
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Egg Harbor Twp
,,,,,Lakewood Twp
,,,,,Manchester Township School District
,,,,,Wyckoff Twp
,,,,,Lakewood Twp
,,,,,Carteret Boro
,,,,,Lakewood
